,MES DE RECOLECCION,ID,Código factura TR,Fabricante,Marca,Distribuidor TR,Descripciones TR,Codigos de barras TR,Codigo ref en Factura,Descripcion en factura,Tipo promocion,Codigo ref en Factura Dinamica,Descripcion en factura Dinamica,CIUDAD
0,2022-06-01,2682,F2085,DRYPERS ANDINA S.A,ELITE,GRUPO BENDICON S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",3848,PAPEL HIGIENICO ROLLAZO X 24 UND,SIN DINAMICA PROMOCIONAL,,,BOGOTA
1,2022-06-01,2682,F2085,DRYPERS ANDINA S.A,ELITE,GRUPO BENDICON S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLOTE X 1 UN,"7707199348809, 7707199345006, 7707199345488",8417,PAPEL HIGIENICO ROLLOTE X 24 UND,SIN DINAMICA PROMOCIONAL,,,BOGOTA
2,2022-06-01,1540,F2135,DRYPERS ANDINA S.A,ELITE,NUTRIUM S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",1499543,PH ELITE DUO ROLLAZO TRIP-HOJA ROJO X 24,SIN DINAMICA PROMOCIONAL,,,BOGOTA
3,2022-06-01,193,F2137,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CONFI SPRESS,PAPEL HIGIENICO SCOTT CUIDADO COMPLETO TRIPLE HOJA X 1 UN,7702425803015,,PAPEL CUI. COMPLE X 24 UND G RTS 3 ROLLOS CUID. COMP,CON DINAMICA PROMOCIONAL,,PAPEL CUI. COMPLE X 24 UND G RTS 3 ROLLOS CUID. COMP,BOGOTA
4,2022-06-01,1267,F2138,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CANDY GLOBAL S.A.S,PAPEL HIGIENICO SCOTT CUIDADO COMPLETO TRIPLE HOJA X 1 UN,7702425803015,NO VISIBLE,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,CON DINAMICA PROMOCIONAL,NO VISIBLE,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,BOGOTA
5,2022-06-01,1156,F2139,DRYPERS ANDINA S.A,ELITE,DSOSA S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",5100441,P.H ROJO ELITE DUO ROLLAZO *24,SIN DINAMICA PROMOCIONAL,,,BOGOTA
6,2022-06-01,1156,F2140,DRYPERS ANDINA S.A,ELITE,DSOSA S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",5100441,P.H ROJO ELITE DUO ROLLAZO *24,SIN DINAMICA PROMOCIONAL,,,BOGOTA
7,2022-06-01,2671,F2142,DRYPERS ANDINA S.A,ELITE,DSOSA S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",NO VISIBLE,12 UND P.H ELITE ROJO ROLLAZO ,SIN DINAMICA PROMOCIONAL,,,BOGOTA
8,2022-06-01,2671,F2143,DRYPERS ANDINA S.A,ELITE,DSOSA S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLOTE X 1 UN,"7707199348809, 7707199345006, 7707199345488",5100491,P.H  AMARILLO ELITE* 24,SIN DINAMICA PROMOCIONAL,,,BOGOTA
9,2022-06-01,2671,F2144,DRYPERS ANDINA S.A,ELITE,DSOSA S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLOTE X 1 UN,"7707199348809, 7707199345006, 7707199345488",5100491,P.H  AMARILLO ELITE* 24,SIN DINAMICA PROMOCIONAL,,,BOGOTA
